0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,4186.795,4179.744,4208.846,4204.872,4205.256,4209.103,4180.0,4193.462,4206.282,4257.308,4175.897,4189.359,4183.59,4194.744,0_1
0,4184.615,4193.846,4203.59,4202.564,4209.103,4203.333,4176.923,4191.538,4207.949,4267.436,4176.667,4194.615,4190.256,4197.436,0_1
0,4184.103,4189.615,4200.897,4192.051,4205.897,4199.872,4169.872,4190.0,4214.487,4269.231,4188.077,4198.077,4195.0,4199.744,0_1
0,4191.154,4174.487,4205.0,4189.872,4200.897,4200.513,4171.41,4194.615,4215.769,4261.026,4191.795,4199.615,4197.308,4202.179,0_1
0,4192.564,4171.41,4202.179,4192.179,4199.231,4201.667,4176.41,4200.385,4214.615,4264.103,4186.282,4196.41,4196.026,4198.974,0_1
0,4181.667,4170.128,4194.487,4187.692,4195.897,4205.385,4177.564,4205.256,4219.103,4272.821,4184.231,4187.949,4192.949,4189.359,0_1
0,4178.077,4170.128,4194.103,4186.154,4193.333,4207.308,4177.179,4210.513,4220.385,4270.0,4189.872,4187.308,4193.846,4187.821,0_1
0,4190.0,4186.026,4198.205,4198.846,4200.0,4203.205,4177.308,4213.333,4217.692,4268.333,4194.103,4193.333,4203.59,4198.077,0_1
0,4197.051,4196.795,4197.949,4208.846,4204.872,4203.077,4177.821,4208.205,4215.769,4271.795,4193.59,4192.051,4206.41,4200.0,0_1
0,4188.59,4187.179,4195.128,4198.077,4200.385,4208.59,4178.59,4196.41,4213.974,4264.231,4191.923,4186.538,4200.256,4193.333,0_1
0,4185.256,4181.026,4194.615,4187.436,4202.308,4210.128,4178.974,4188.205,4215.0,4253.974,4188.077,4187.692,4203.462,4193.974,0_1
0,4192.821,4183.846,4198.333,4197.436,4203.974,4208.462,4178.462,4190.256,4216.795,4255.641,4188.077,4192.436,4211.795,4199.487,0_1
0,4191.154,4173.462,4195.513,4198.333,4192.179,4208.846,4180.128,4196.026,4216.795,4259.615,4189.487,4192.949,4205.0,4198.846,0_1
0,4185.385,4168.333,4191.923,4183.462,4192.564,4209.231,4184.359,4203.718,4217.949,4267.051,4189.231,4194.359,4199.231,4200.0,0_1
0,4191.282,4187.308,4200.641,4196.795,4205.128,4206.538,4181.154,4207.692,4219.744,4272.051,4194.231,4200.0,4207.436,4202.308,0_1
0,4192.949,4191.538,4204.231,4218.462,4204.231,4203.718,4173.462,4201.154,4217.051,4257.436,4192.308,4198.59,4203.974,4197.564,0_1
0,4185.0,4177.692,4196.41,4201.282,4198.59,4203.333,4175.897,4194.487,4216.41,4244.872,4185.128,4192.179,4195.897,4196.538,0_1
0,4184.615,4182.821,4194.872,4185.641,4205.0,4203.846,4178.718,4190.385,4214.744,4248.974,4187.308,4191.667,4199.744,4199.103,0_1
0,4191.795,4192.179,4200.256,4199.872,4208.846,4204.615,4172.564,4179.615,4205.897,4243.59,4186.923,4189.744,4199.231,4196.667,0_1
0,4191.154,4181.795,4198.846,4206.026,4205.385,4207.179,4173.718,4172.051,4199.359,4230.641,4175.256,4187.436,4189.231,4195.641,0_1
0,4191.282,4177.821,4197.051,4200.513,4204.231,4209.231,4182.692,4178.333,4201.538,4234.231,4179.359,4191.795,4192.949,4199.487,0_1
0,4197.564,4178.59,4204.103,4200.897,4203.59,4208.974,4188.077,4190.385,4211.154,4245.256,4193.59,4199.872,4204.231,4202.564,0_1
0,4196.026,4170.385,4206.026,4204.615,4204.487,4207.692,4186.154,4193.462,4216.923,4247.436,4187.179,4204.744,4192.949,4197.821,0_1
0,4193.974,4182.051,4198.846,4216.282,4205.256,4203.974,4174.872,4184.744,4208.974,4239.103,4178.462,4198.846,4177.949,4193.205,0_1
0,4199.103,4211.795,4195.256,4225.769,4210.128,4203.462,4170.385,4183.59,4200.256,4232.308,4183.462,4190.128,4181.282,4194.872,0_1
0,4198.718,4221.41,4197.821,4212.564,4215.513,4205.897,4173.718,4190.256,4202.692,4230.385,4179.359,4187.564,4180.641,4193.205,0_1
0,4191.282,4216.41,4195.0,4204.231,4213.333,4203.205,4168.205,4184.103,4202.949,4220.641,4165.256,4185.128,4161.154,4185.128,0_1
0,4188.205,4217.436,4189.359,4211.282,4213.462,4203.846,4171.026,4179.744,4198.59,4212.821,4161.538,4178.846,4150.897,4181.026,0_1
0,4186.538,4212.821,4191.026,4208.718,4210.769,4208.333,4182.308,4186.41,4201.026,4216.154,4164.231,4176.795,4157.436,4184.744,0_1
0,4187.051,4207.949,4194.487,4208.462,4206.282,4207.436,4179.359,4180.897,4202.692,4219.744,4162.564,4181.795,4163.077,4190.256,0_1
0,4191.026,4213.205,4196.538,4216.154,4212.179,4207.821,4172.564,4170.128,4199.615,4221.667,4166.026,4185.897,4166.795,4191.795,0_1
0,4185.385,4210.385,4196.538,4209.231,4218.59,4212.308,4177.436,4177.308,4203.59,4223.077,4169.872,4185.128,4165.385,4187.821,0_1
0,4183.205,4204.359,4196.923,4205.128,4217.436,4213.718,4181.923,4190.385,4208.205,4223.077,4172.564,4184.872,4165.769,4189.103,0_1
0,4195.769,4210.897,4200.385,4220.513,4217.051,4211.154,4180.385,4191.538,4204.103,4224.231,4179.359,4188.333,4175.0,4194.872,0_1
0,4201.026,4216.667,4200.897,4223.59,4217.179,4207.821,4175.769,4190.128,4206.41,4224.615,4182.564,4187.949,4182.949,4191.923,0_1
0,4192.436,4211.154,4196.026,4211.026,4215.0,4209.231,4178.59,4200.0,4214.487,4222.051,4180.385,4185.897,4177.051,4188.205,0_1
